0.75;1;1.5;2.5;5;7.5;
0.13;0.37;0.71;1.22;2.2;2.99;
;;;;;;
x;y;a;b;c;;
0.75;0.13;-0.011153993;0.464261658;0.135449684;0.477371807;0.347371807
1;0.37;0;0;0;0.588557349;0.218557349
1.5;0.71;0;0;0;0.806745687;0.096745687
2.5;1.22;0;0;0;1.226391373;0.006391373
5;2.2;0;0;0;2.177908148;-0.022091852
7.5;2.99;0;0;0;2.99000001;9.80235E-09
10;;;;;3.662666958;0.691158078
12.5;;;;;4.195908993;
15;;;;;4.589726114;
17.5;;;;;4.844118321;
x;y;a;b;c;;
0.75;0.13;0.247100471;0.462299528;0.040276905;;-0.13
1;0.37;0;0;0;;-0.37
1.5;0.71;0;0;0;;-0.71
2.5;1.22;0;0;0;;-1.22
5;2.2;0;0;0;;-2.2
7.5;2.99;0;0;0;;-2.99
;;;;;;7.62
x;;;;;;
0.75;1.106731984;;;;;
1;1.119610714;;;;;
1.5;1.146628634;;;;;
2.5;1.206097435;;;;;
5;1.392449409;;;;;
7.5;1.648481612;;;;;
